,Str1,Str2,Shared_norm,Strain1,Strain2
1056,R._leguminosarum_UPM1137_GCF_000427705.1,R._leguminosarum_CCBAU65264_GCF_012276485.1,0.8243405386575942,227,399
1067,R._leguminosarum_UPM1137_GCF_000427705.1,R._leguminosarum_RSF2G1_GCF_004330135.1,0.8387307592686168,227,414
1085,R._leguminosarum_UPM1137_GCF_000427705.1,gsB_R._leguminosarum_SM22_GCF_004306805.1,0.8364234126362993,227,416
1086,R._leguminosarum_UPM1137_GCF_000427705.1,gsB_R._leguminosarum_SM39_GCF_004306715.1,0.8399137368806522,227,417
1082,R._leguminosarum_UPM1137_GCF_000427705.1,gsB_R._leguminosarum_SM10_GCF_004322895.1,0.8347899577407828,227,429
1063,R._leguminosarum_UPM1137_GCF_000427705.1,R._leguminosarum_JHI960_GCA_010668545.1,0.8131054291507096,227,438
928,R._leguminosarum_SEMIA_499_GCF_014198835.1,R._anhuiense_S10_GCF_002531655.1,0.8584429838888816,233,5
950,R._leguminosarum_SEMIA_499_GCF_014198835.1,R._leguminosarum_Vh3_GCF_000373325.1,0.8527088579678799,233,21
935,R._leguminosarum_SEMIA_499_GCF_014198835.1,R._leguminosarum_FRF1H7_GCF_004330625.1,0.8561778155515962,233,25
966,R._leguminosarum_SEMIA_499_GCF_014198835.1,gsC_R._leguminosarum_SM92_GCF_004305315.1,0.8451738448591919,233,26
952,R._leguminosarum_SEMIA_499_GCF_014198835.1,R._ruizarguesonis_UPM1135_GCF_012412905.1,0.8512070678253099,233,77
938,R._leguminosarum_SEMIA_499_GCF_014198835.1,R._leguminosarum_JHI783_GCF_010668665.1,0.8563951449437628,233,81
965,R._leguminosarum_SEMIA_499_GCF_014198835.1,gsC_R._leguminosarum_SM84_GCF_004306055.1,0.8614739831085113,233,103
963,R._leguminosarum_SEMIA_499_GCF_014198835.1,gsC_R._leguminosarum_SM42_GCF_004306325.1,0.8503563349399383,233,152
964,R._leguminosarum_SEMIA_499_GCF_014198835.1,gsC_R._leguminosarum_SM43_GCF_004306775.1,0.8566417340706504,233,165
942,R._leguminosarum_SEMIA_499_GCF_014198835.1,R._leguminosarum_RCAM0626_GCA_014189575.1,0.8366436448888492,233,168
951,R._leguminosarum_SEMIA_499_GCF_014198835.1,R._leguminosarum_WSM448_GCF_004028185.1,0.8739534869668935,233,195
967,R._leguminosarum_SEMIA_499_GCF_014198835.1,gsE_R._leguminosarum_SM149A_GCF_004304155.1,0.930739302206864,233,206
948,R._leguminosarum_SEMIA_499_GCF_014198835.1,R._leguminosarum_UPM1137_GCF_000427705.1,0.8988606218018301,233,227
947,R._leguminosarum_SEMIA_499_GCF_014198835.1,R._leguminosarum_SEMIA_499_GCF_014198835.1,1.0,233,233
946,R._leguminosarum_SEMIA_499_GCF_014198835.1,R._leguminosarum_SEMIA_488_GCF_014206965.1,0.9039689524005659,233,239
933,R._leguminosarum_SEMIA_499_GCF_014198835.1,R._leguminosarum_CZP1G4_GCF_004330845.1,0.9228047428075571,233,240
931,R._leguminosarum_SEMIA_499_GCF_014198835.1,R._leguminosarum_128C53_GCF_000373425.1,0.9307605938035017,233,260
949,R._leguminosarum_SEMIA_499_GCF_014198835.1,R._leguminosarum_UPM791_GCF_002948295.1,0.9234912479432025,233,261
937,R._leguminosarum_SEMIA_499_GCF_014198835.1,R._leguminosarum_JHI1084_GCF_010668425.1,0.8966747942994798,233,262
945,R._leguminosarum_SEMIA_499_GCF_014198835.1,R._leguminosarum_SEMIA_459_GCF_014198415.1,0.9328941931624442,233,265
955,R._leguminosarum_SEMIA_499_GCF_014198835.1,gsA_R._leguminosarum_SM151B_GCF_004304085.1,0.846286778825099,233,285
956,R._leguminosarum_SEMIA_499_GCF_014198835.1,gsA_R._leguminosarum_SM155C_GCF_004303655.1,0.8323710933695609,233,302
957,R._leguminosarum_SEMIA_499_GCF_014198835.1,gsA_R._leguminosarum_SM163B_GCF_004303255.1,0.8368217068043126,233,309
954,R._leguminosarum_SEMIA_499_GCF_014198835.1,gsA_R._leguminosarum_SM144B_GCF_004303975.1,0.8266139054556826,233,311
940,R._leguminosarum_SEMIA_499_GCF_014198835.1,R._leguminosarum_L144_GCF_012276225.1,0.8248337994405605,233,338
930,R._leguminosarum_SEMIA_499_GCF_014198835.1,R._laguerreae_SS21_GCF_012275795.1,0.8149383143258824,233,344
929,R._leguminosarum_SEMIA_499_GCF_014198835.1,R._laguerreae_SP4_GCF_012275785.1,0.8182536472571951,233,348
941,R._leguminosarum_SEMIA_499_GCF_014198835.1,R._leguminosarum_L563_GCF_012276025.1,0.8324321174607425,233,359
934,R._leguminosarum_SEMIA_499_GCF_014198835.1,R._leguminosarum_FRF1D12_GCF_004330655.1,0.8406499751129309,233,365
953,R._leguminosarum_SEMIA_499_GCF_014198835.1,R._sp._PEPV16_PEPV16_GCF_008919455.1,0.8238695303278811,233,370
936,R._leguminosarum_SEMIA_499_GCF_014198835.1,R._leguminosarum_FWPou38_GCF_013391705.1,0.8272539145958229,233,377
959,R._leguminosarum_SEMIA_499_GCF_014198835.1,gsB_R._leguminosarum_SM12_GCF_004306015.1,0.8285061178791353,233,386
944,R._leguminosarum_SEMIA_499_GCF_014198835.1,R._leguminosarum_RSP1E6_GCF_004330085.1,0.819286875637004,233,388
960,R._leguminosarum_SEMIA_499_GCF_014198835.1,gsB_R._leguminosarum_SM13_GCF_004307165.1,0.8304710879636736,233,395
932,R._leguminosarum_SEMIA_499_GCF_014198835.1,R._leguminosarum_CCBAU65264_GCF_012276485.1,0.8167692489178624,233,399
943,R._leguminosarum_SEMIA_499_GCF_014198835.1,R._leguminosarum_RSF2G1_GCF_004330135.1,0.8235386597981806,233,414
961,R._leguminosarum_SEMIA_499_GCF_014198835.1,gsB_R._leguminosarum_SM22_GCF_004306805.1,0.8325927667075786,233,416
962,R._leguminosarum_SEMIA_499_GCF_014198835.1,gsB_R._leguminosarum_SM39_GCF_004306715.1,0.8328168713817792,233,417
958,R._leguminosarum_SEMIA_499_GCF_014198835.1,gsB_R._leguminosarum_SM10_GCF_004322895.1,0.8289269497642211,233,429
939,R._leguminosarum_SEMIA_499_GCF_014198835.1,R._leguminosarum_JHI960_GCA_010668545.1,0.811890380134615,233,438
888,R._leguminosarum_SEMIA_488_GCF_014206965.1,R._anhuiense_S10_GCF_002531655.1,0.8447586749447571,239,5
910,R._leguminosarum_SEMIA_488_GCF_014206965.1,R._leguminosarum_Vh3_GCF_000373325.1,0.842081095692798,239,21
895,R._leguminosarum_SEMIA_488_GCF_014206965.1,R._leguminosarum_FRF1H7_GCF_004330625.1,0.8500184410736881,239,25
926,R._leguminosarum_SEMIA_488_GCF_014206965.1,gsC_R._leguminosarum_SM92_GCF_004305315.1,0.8456446893949241,239,26
912,R._leguminosarum_SEMIA_488_GCF_014206965.1,R._ruizarguesonis_UPM1135_GCF_012412905.1,0.8550753543596257,239,77
898,R._leguminosarum_SEMIA_488_GCF_014206965.1,R._leguminosarum_JHI783_GCF_010668665.1,0.8466140427880657,239,81
925,R._leguminosarum_SEMIA_488_GCF_014206965.1,gsC_R._leguminosarum_SM84_GCF_004306055.1,0.8511190760137819,239,103
923,R._leguminosarum_SEMIA_488_GCF_014206965.1,gsC_R._leguminosarum_SM42_GCF_004306325.1,0.8464302324617348,239,152
924,R._leguminosarum_SEMIA_488_GCF_014206965.1,gsC_R._leguminosarum_SM43_GCF_004306775.1,0.8481266388187108,239,165
902,R._leguminosarum_SEMIA_488_GCF_014206965.1,R._leguminosarum_RCAM0626_GCA_014189575.1,0.8326829431979457,239,168
911,R._leguminosarum_SEMIA_488_GCF_014206965.1,R._leguminosarum_WSM448_GCF_004028185.1,0.862421031641748,239,195
927,R._leguminosarum_SEMIA_488_GCF_014206965.1,gsE_R._leguminosarum_SM149A_GCF_004304155.1,0.9127674687629284,239,206
908,R._leguminosarum_SEMIA_488_GCF_014206965.1,R._leguminosarum_UPM1137_GCF_000427705.1,0.9137254489306188,239,227
907,R._leguminosarum_SEMIA_488_GCF_014206965.1,R._leguminosarum_SEMIA_499_GCF_014198835.1,0.9039689524005659,239,233
906,R._leguminosarum_SEMIA_488_GCF_014206965.1,R._leguminosarum_SEMIA_488_GCF_014206965.1,1.0,239,239
893,R._leguminosarum_SEMIA_488_GCF_014206965.1,R._leguminosarum_CZP1G4_GCF_004330845.1,0.9574192188076538,239,240
891,R._leguminosarum_SEMIA_488_GCF_014206965.1,R._leguminosarum_128C53_GCF_000373425.1,0.9410334350487182,239,260
909,R._leguminosarum_SEMIA_488_GCF_014206965.1,R._leguminosarum_UPM791_GCF_002948295.1,0.948023884389096,239,261
897,R._leguminosarum_SEMIA_488_GCF_014206965.1,R._leguminosarum_JHI1084_GCF_010668425.1,0.9486034533157275,239,262
905,R._leguminosarum_SEMIA_488_GCF_014206965.1,R._leguminosarum_SEMIA_459_GCF_014198415.1,0.9576244880234317,239,265
915,R._leguminosarum_SEMIA_488_GCF_014206965.1,gsA_R._leguminosarum_SM151B_GCF_004304085.1,0.8390429818229542,239,285
916,R._leguminosarum_SEMIA_488_GCF_014206965.1,gsA_R._leguminosarum_SM155C_GCF_004303655.1,0.8258055555013656,239,302
917,R._leguminosarum_SEMIA_488_GCF_014206965.1,gsA_R._leguminosarum_SM163B_GCF_004303255.1,0.8275326536725747,239,309
914,R._leguminosarum_SEMIA_488_GCF_014206965.1,gsA_R._leguminosarum_SM144B_GCF_004303975.1,0.8216841953590818,239,311
900,R._leguminosarum_SEMIA_488_GCF_014206965.1,R._leguminosarum_L144_GCF_012276225.1,0.8201018432918454,239,338
890,R._leguminosarum_SEMIA_488_GCF_014206965.1,R._laguerreae_SS21_GCF_012275795.1,0.8101051338559919,239,344
889,R._leguminosarum_SEMIA_488_GCF_014206965.1,R._laguerreae_SP4_GCF_012275785.1,0.8092539130226368,239,348
901,R._leguminosarum_SEMIA_488_GCF_014206965.1,R._leguminosarum_L563_GCF_012276025.1,0.8312418917800911,239,359
894,R._leguminosarum_SEMIA_488_GCF_014206965.1,R._leguminosarum_FRF1D12_GCF_004330655.1,0.8299522448980328,239,365
913,R._leguminosarum_SEMIA_488_GCF_014206965.1,R._sp._PEPV16_PEPV16_GCF_008919455.1,0.8235927954477524,239,370
896,R._leguminosarum_SEMIA_488_GCF_014206965.1,R._leguminosarum_FWPou38_GCF_013391705.1,0.824291763220407,239,377
919,R._leguminosarum_SEMIA_488_GCF_014206965.1,gsB_R._leguminosarum_SM12_GCF_004306015.1,0.8346711771848079,239,386
904,R._leguminosarum_SEMIA_488_GCF_014206965.1,R._leguminosarum_RSP1E6_GCF_004330085.1,0.854748619562874,239,388
920,R._leguminosarum_SEMIA_488_GCF_014206965.1,gsB_R._leguminosarum_SM13_GCF_004307165.1,0.8269440689122803,239,395
892,R._leguminosarum_SEMIA_488_GCF_014206965.1,R._leguminosarum_CCBAU65264_GCF_012276485.1,0.8321821740737787,239,399
903,R._leguminosarum_SEMIA_488_GCF_014206965.1,R._leguminosarum_RSF2G1_GCF_004330135.1,0.8341801850204928,239,414
921,R._leguminosarum_SEMIA_488_GCF_014206965.1,gsB_R._leguminosarum_SM22_GCF_004306805.1,0.8324431020460168,239,416
922,R._leguminosarum_SEMIA_488_GCF_014206965.1,gsB_R._leguminosarum_SM39_GCF_004306715.1,0.8348374569429916,239,417
918,R._leguminosarum_SEMIA_488_GCF_014206965.1,gsB_R._leguminosarum_SM10_GCF_004322895.1,0.831422276636655,239,429
899,R._leguminosarum_SEMIA_488_GCF_014206965.1,R._leguminosarum_JHI960_GCA_010668545.1,0.8208761707483031,239,438
326,R._leguminosarum_CZP1G4_GCF_004330845.1,R._anhuiense_S10_GCF_002531655.1,0.8536148464570913,240,5
348,R._leguminosarum_CZP1G4_GCF_004330845.1,R._leguminosarum_Vh3_GCF_000373325.1,0.8512519420854678,240,21
333,R._leguminosarum_CZP1G4_GCF_004330845.1,R._leguminosarum_FRF1H7_GCF_004330625.1,0.8557029656880626,240,25
364,R._leguminosarum_CZP1G4_GCF_004330845.1,gsC_R._leguminosarum_SM92_GCF_004305315.1,0.8464070554986377,240,26
350,R._leguminosarum_CZP1G4_GCF_004330845.1,R._ruizarguesonis_UPM1135_GCF_012412905.1,0.8600261678005685,240,77
336,R._leguminosarum_CZP1G4_GCF_004330845.1,R._leguminosarum_JHI783_GCF_010668665.1,0.8564824075846472,240,81
363,R._leguminosarum_CZP1G4_GCF_004330845.1,gsC_R._leguminosarum_SM84_GCF_004306055.1,0.8622129864798995,240,103
361,R._leguminosarum_CZP1G4_GCF_004330845.1,gsC_R._leguminosarum_SM42_GCF_004306325.1,0.8496375181240938,240,152
362,R._leguminosarum_CZP1G4_GCF_004330845.1,gsC_R._leguminosarum_SM43_GCF_004306775.1,0.8540415202966433,240,165
340,R._leguminosarum_CZP1G4_GCF_004330845.1,R._leguminosarum_RCAM0626_GCA_014189575.1,0.8410186491044203,240,168
349,R._leguminosarum_CZP1G4_GCF_004330845.1,R._leguminosarum_WSM448_GCF_004028185.1,0.8783103981806577,240,195
365,R._leguminosarum_CZP1G4_GCF_004330845.1,gsE_R._leguminosarum_SM149A_GCF_004304155.1,0.9252191005655266,240,206
346,R._leguminosarum_CZP1G4_GCF_004330845.1,R._leguminosarum_UPM1137_GCF_000427705.1,0.9232577108741089,240,227
345,R._leguminosarum_CZP1G4_GCF_004330845.1,R._leguminosarum_SEMIA_499_GCF_014198835.1,0.9228047428075571,240,233
344,R._leguminosarum_CZP1G4_GCF_004330845.1,R._leguminosarum_SEMIA_488_GCF_014206965.1,0.9574192188076538,240,239
331,R._leguminosarum_CZP1G4_GCF_004330845.1,R._leguminosarum_CZP1G4_GCF_004330845.1,1.0,240,240
329,R._leguminosarum_CZP1G4_GCF_004330845.1,R._leguminosarum_128C53_GCF_000373425.1,0.9465914274644084,240,260
347,R._leguminosarum_CZP1G4_GCF_004330845.1,R._leguminosarum_UPM791_GCF_002948295.1,0.9483554958179479,240,261
335,R._leguminosarum_CZP1G4_GCF_004330845.1,R._leguminosarum_JHI1084_GCF_010668425.1,0.9331620329924457,240,262
343,R._leguminosarum_CZP1G4_GCF_004330845.1,R._leguminosarum_SEMIA_459_GCF_014198415.1,0.9666774033754352,240,265
353,R._leguminosarum_CZP1G4_GCF_004330845.1,gsA_R._leguminosarum_SM151B_GCF_004304085.1,0.8447953607672578,240,285
354,R._leguminosarum_CZP1G4_GCF_004330845.1,gsA_R._leguminosarum_SM155C_GCF_004303655.1,0.8328669894808679,240,302
355,R._leguminosarum_CZP1G4_GCF_004330845.1,gsA_R._leguminosarum_SM163B_GCF_004303255.1,0.8295070504068842,240,309
352,R._leguminosarum_CZP1G4_GCF_004330845.1,gsA_R._leguminosarum_SM144B_GCF_004303975.1,0.8284385520468571,240,311
338,R._leguminosarum_CZP1G4_GCF_004330845.1,R._leguminosarum_L144_GCF_012276225.1,0.8253658881895245,240,338
328,R._leguminosarum_CZP1G4_GCF_004330845.1,R._laguerreae_SS21_GCF_012275795.1,0.8163022217544229,240,344
327,R._leguminosarum_CZP1G4_GCF_004330845.1,R._laguerreae_SP4_GCF_012275785.1,0.8127057764339591,240,348
339,R._leguminosarum_CZP1G4_GCF_004330845.1,R._leguminosarum_L563_GCF_012276025.1,0.8296641733371841,240,359
332,R._leguminosarum_CZP1G4_GCF_004330845.1,R._leguminosarum_FRF1D12_GCF_004330655.1,0.8344850304602072,240,365
351,R._leguminosarum_CZP1G4_GCF_004330845.1,R._sp._PEPV16_PEPV16_GCF_008919455.1,0.8270321065825244,240,370
334,R._leguminosarum_CZP1G4_GCF_004330845.1,R._leguminosarum_FWPou38_GCF_013391705.1,0.824371840315121,240,377
357,R._leguminosarum_CZP1G4_GCF_004330845.1,gsB_R._leguminosarum_SM12_GCF_004306015.1,0.8409849119756461,240,386
342,R._leguminosarum_CZP1G4_GCF_004330845.1,R._leguminosarum_RSP1E6_GCF_004330085.1,0.8336616780655906,240,388
358,R._leguminosarum_CZP1G4_GCF_004330845.1,gsB_R._leguminosarum_SM13_GCF_004307165.1,0.8383152094017632,240,395
330,R._leguminosarum_CZP1G4_GCF_004330845.1,R._leguminosarum_CCBAU65264_GCF_012276485.1,0.8268242821992353,240,399
341,R._leguminosarum_CZP1G4_GCF_004330845.1,R._leguminosarum_RSF2G1_GCF_004330135.1,0.8390498744190265,240,414
359,R._leguminosarum_CZP1G4_GCF_004330845.1,gsB_R._leguminosarum_SM22_GCF_004306805.1,0.8405005129815049,240,416
360,R._leguminosarum_CZP1G4_GCF_004330845.1,gsB_R._leguminosarum_SM39_GCF_004306715.1,0.8451027698153312,240,417
356,R._leguminosarum_CZP1G4_GCF_004330845.1,gsB_R._leguminosarum_SM10_GCF_004322895.1,0.8394872178627368,240,429
337,R._leguminosarum_CZP1G4_GCF_004330845.1,R._leguminosarum_JHI960_GCA_010668545.1,0.8209486597662934,240,438
120,R._leguminosarum_128C53_GCF_000373425.1,R._anhuiense_S10_GCF_002531655.1,0.8442857885241319,260,5
142,R._leguminosarum_128C53_GCF_000373425.1,R._leguminosarum_Vh3_GCF_000373325.1,0.83971125038741,260,21
127,R._leguminosarum_128C53_GCF_000373425.1,R._leguminosarum_FRF1H7_GCF_004330625.1,0.8460724372315838,260,25
158,R._leguminosarum_128C53_GCF_000373425.1,gsC_R._leguminosarum_SM92_GCF_004305315.1,0.8354010673831929,260,26
144,R._leguminosarum_128C53_GCF_000373425.1,R._ruizarguesonis_UPM1135_GCF_012412905.1,0.8571509181653102,260,77
130,R._leguminosarum_128C53_GCF_000373425.1,R._leguminosarum_JHI783_GCF_010668665.1,0.8466922527707175,260,81
157,R._leguminosarum_128C53_GCF_000373425.1,gsC_R._leguminosarum_SM84_GCF_004306055.1,0.8502829049821887,260,103
155,R._leguminosarum_128C53_GCF_000373425.1,gsC_R._leguminosarum_SM42_GCF_004306325.1,0.8387677345961553,260,152
156,R._leguminosarum_128C53_GCF_000373425.1,gsC_R._leguminosarum_SM43_GCF_004306775.1,0.8437385391198045,260,165
134,R._leguminosarum_128C53_GCF_000373425.1,R._leguminosarum_RCAM0626_GCA_014189575.1,0.8283345884720852,260,168
143,R._leguminosarum_128C53_GCF_000373425.1,R._leguminosarum_WSM448_GCF_004028185.1,0.8668572899443802,260,195
159,R._leguminosarum_128C53_GCF_000373425.1,gsE_R._leguminosarum_SM149A_GCF_004304155.1,0.9328462867375433,260,206
140,R._leguminosarum_128C53_GCF_000373425.1,R._leguminosarum_UPM1137_GCF_000427705.1,0.9054183107561555,260,227
139,R._leguminosarum_128C53_GCF_000373425.1,R._leguminosarum_SEMIA_499_GCF_014198835.1,0.9307605938035017,260,233
138,R._leguminosarum_128C53_GCF_000373425.1,R._leguminosarum_SEMIA_488_GCF_014206965.1,0.9410334350487182,260,239
125,R._leguminosarum_128C53_GCF_000373425.1,R._leguminosarum_CZP1G4_GCF_004330845.1,0.9465914274644084,260,240
123,R._leguminosarum_128C53_GCF_000373425.1,R._leguminosarum_128C53_GCF_000373425.1,1.0,260,260
141,R._leguminosarum_128C53_GCF_000373425.1,R._leguminosarum_UPM791_GCF_002948295.1,0.9895131215845533,260,261
129,R._leguminosarum_128C53_GCF_000373425.1,R._leguminosarum_JHI1084_GCF_010668425.1,0.9249926821906419,260,262
137,R._leguminosarum_128C53_GCF_000373425.1,R._leguminosarum_SEMIA_459_GCF_014198415.1,0.945569102063874,260,265
147,R._leguminosarum_128C53_GCF_000373425.1,gsA_R._leguminosarum_SM151B_GCF_004304085.1,0.8347594680904147,260,285
148,R._leguminosarum_128C53_GCF_000373425.1,gsA_R._leguminosarum_SM155C_GCF_004303655.1,0.815052869565773,260,302
149,R._leguminosarum_128C53_GCF_000373425.1,gsA_R._leguminosarum_SM163B_GCF_004303255.1,0.8189955085466863,260,309
146,R._leguminosarum_128C53_GCF_000373425.1,gsA_R._leguminosarum_SM144B_GCF_004303975.1,0.8116169204527908,260,311
132,R._leguminosarum_128C53_GCF_000373425.1,R._leguminosarum_L144_GCF_012276225.1,0.8135515525980305,260,338
122,R._leguminosarum_128C53_GCF_000373425.1,R._laguerreae_SS21_GCF_012275795.1,0.8069695151624563,260,344
121,R._leguminosarum_128C53_GCF_000373425.1,R._laguerreae_SP4_GCF_012275785.1,0.8064276609406086,260,348
133,R._leguminosarum_128C53_GCF_000373425.1,R._leguminosarum_L563_GCF_012276025.1,0.8197475788219086,260,359
126,R._leguminosarum_128C53_GCF_000373425.1,R._leguminosarum_FRF1D12_GCF_004330655.1,0.8291668707243065,260,365
145,R._leguminosarum_128C53_GCF_000373425.1,R._sp._PEPV16_PEPV16_GCF_008919455.1,0.814939361894907,260,370
128,R._leguminosarum_128C53_GCF_000373425.1,R._leguminosarum_FWPou38_GCF_013391705.1,0.8131042367765953,260,377
151,R._leguminosarum_128C53_GCF_000373425.1,gsB_R._leguminosarum_SM12_GCF_004306015.1,0.8262126447221323,260,386
136,R._leguminosarum_128C53_GCF_000373425.1,R._leguminosarum_RSP1E6_GCF_004330085.1,0.8276552462981526,260,388
152,R._leguminosarum_128C53_GCF_000373425.1,gsB_R._leguminosarum_SM13_GCF_004307165.1,0.8235187362927521,260,395
124,R._leguminosarum_128C53_GCF_000373425.1,R._leguminosarum_CCBAU65264_GCF_012276485.1,0.8150759962305809,260,399
135,R._leguminosarum_128C53_GCF_000373425.1,R._leguminosarum_RSF2G1_GCF_004330135.1,0.8327413888412598,260,414
153,R._leguminosarum_128C53_GCF_000373425.1,gsB_R._leguminosarum_SM22_GCF_004306805.1,0.8240126468016886,260,416
154,R._leguminosarum_128C53_GCF_000373425.1,gsB_R._leguminosarum_SM39_GCF_004306715.1,0.8276342971194199,260,417
150,R._leguminosarum_128C53_GCF_000373425.1,gsB_R._leguminosarum_SM10_GCF_004322895.1,0.8228524118132203,260,429
131,R._leguminosarum_128C53_GCF_000373425.1,R._leguminosarum_JHI960_GCA_010668545.1,0.8102432337039525,260,438
1092,R._leguminosarum_UPM791_GCF_002948295.1,R._anhuiense_S10_GCF_002531655.1,0.8460271705481642,261,5
1114,R._leguminosarum_UPM791_GCF_002948295.1,R._leguminosarum_Vh3_GCF_000373325.1,0.8418510448534906,261,21
1099,R._leguminosarum_UPM791_GCF_002948295.1,R._leguminosarum_FRF1H7_GCF_004330625.1,0.8483589083752393,261,25
1130,R._leguminosarum_UPM791_GCF_002948295.1,gsC_R._leguminosarum_SM92_GCF_004305315.1,0.8386074519942899,261,26
1116,R._leguminosarum_UPM791_GCF_002948295.1,R._ruizarguesonis_UPM1135_GCF_012412905.1,0.859486911678184,261,77
1102,R._leguminosarum_UPM791_GCF_002948295.1,R._leguminosarum_JHI783_GCF_010668665.1,0.8494709353308059,261,81
1129,R._leguminosarum_UPM791_GCF_002948295.1,gsC_R._leguminosarum_SM84_GCF_004306055.1,0.852747412361986,261,103
1127,R._leguminosarum_UPM791_GCF_002948295.1,gsC_R._leguminosarum_SM42_GCF_004306325.1,0.8415412946533696,261,152
1128,R._leguminosarum_UPM791_GCF_002948295.1,gsC_R._leguminosarum_SM43_GCF_004306775.1,0.8460339657224013,261,165
1106,R._leguminosarum_UPM791_GCF_002948295.1,R._leguminosarum_RCAM0626_GCA_014189575.1,0.8301481751046709,261,168
1115,R._leguminosarum_UPM791_GCF_002948295.1,R._leguminosarum_WSM448_GCF_004028185.1,0.8687316364188873,261,195
1131,R._leguminosarum_UPM791_GCF_002948295.1,gsE_R._leguminosarum_SM149A_GCF_004304155.1,0.9347187071534713,261,206
1112,R._leguminosarum_UPM791_GCF_002948295.1,R._leguminosarum_UPM1137_GCF_000427705.1,0.9067785240824855,261,227
1111,R._leguminosarum_UPM791_GCF_002948295.1,R._leguminosarum_SEMIA_499_GCF_014198835.1,0.9234912479432025,261,233
1110,R._leguminosarum_UPM791_GCF_002948295.1,R._leguminosarum_SEMIA_488_GCF_014206965.1,0.948023884389096,261,239
1097,R._leguminosarum_UPM791_GCF_002948295.1,R._leguminosarum_CZP1G4_GCF_004330845.1,0.9483554958179479,261,240
1095,R._leguminosarum_UPM791_GCF_002948295.1,R._leguminosarum_128C53_GCF_000373425.1,0.9895131215845533,261,260
1113,R._leguminosarum_UPM791_GCF_002948295.1,R._leguminosarum_UPM791_GCF_002948295.1,1.0,261,261
1101,R._leguminosarum_UPM791_GCF_002948295.1,R._leguminosarum_JHI1084_GCF_010668425.1,0.9269169814286478,261,262
1109,R._leguminosarum_UPM791_GCF_002948295.1,R._leguminosarum_SEMIA_459_GCF_014198415.1,0.9474106176158873,261,265
1119,R._leguminosarum_UPM791_GCF_002948295.1,gsA_R._leguminosarum_SM151B_GCF_004304085.1,0.8377891877156206,261,285
1120,R._leguminosarum_UPM791_GCF_002948295.1,gsA_R._leguminosarum_SM155C_GCF_004303655.1,0.8178786046132047,261,302
1121,R._leguminosarum_UPM791_GCF_002948295.1,gsA_R._leguminosarum_SM163B_GCF_004303255.1,0.821672517760518,261,309
1118,R._leguminosarum_UPM791_GCF_002948295.1,gsA_R._leguminosarum_SM144B_GCF_004303975.1,0.8138099755659338,261,311
1104,R._leguminosarum_UPM791_GCF_002948295.1,R._leguminosarum_L144_GCF_012276225.1,0.8153964498826411,261,338
1094,R._leguminosarum_UPM791_GCF_002948295.1,R._laguerreae_SS21_GCF_012275795.1,0.8086857523377742,261,344
1093,R._leguminosarum_UPM791_GCF_002948295.1,R._laguerreae_SP4_GCF_012275785.1,0.8086078067767342,261,348
1105,R._leguminosarum_UPM791_GCF_002948295.1,R._leguminosarum_L563_GCF_012276025.1,0.8224316743047828,261,359
1098,R._leguminosarum_UPM791_GCF_002948295.1,R._leguminosarum_FRF1D12_GCF_004330655.1,0.831044861967699,261,365
1117,R._leguminosarum_UPM791_GCF_002948295.1,R._sp._PEPV16_PEPV16_GCF_008919455.1,0.8176128831407972,261,370
1100,R._leguminosarum_UPM791_GCF_002948295.1,R._leguminosarum_FWPou38_GCF_013391705.1,0.8159291477272148,261,377
1123,R._leguminosarum_UPM791_GCF_002948295.1,gsB_R._leguminosarum_SM12_GCF_004306015.1,0.8289202769806778,261,386
1108,R._leguminosarum_UPM791_GCF_002948295.1,R._leguminosarum_RSP1E6_GCF_004330085.1,0.8350431892907901,261,388
1124,R._leguminosarum_UPM791_GCF_002948295.1,gsB_R._leguminosarum_SM13_GCF_004307165.1,0.8262409019836516,261,395
1096,R._leguminosarum_UPM791_GCF_002948295.1,R._leguminosarum_CCBAU65264_GCF_012276485.1,0.8207010931811485,261,399
1107,R._leguminosarum_UPM791_GCF_002948295.1,R._leguminosarum_RSF2G1_GCF_004330135.1,0.8348604514593172,261,414
1125,R._leguminosarum_UPM791_GCF_002948295.1,gsB_R._leguminosarum_SM22_GCF_004306805.1,0.8265636945181114,261,416
1126,R._leguminosarum_UPM791_GCF_002948295.1,gsB_R._leguminosarum_SM39_GCF_004306715.1,0.8301905384562944,261,417
1122,R._leguminosarum_UPM791_GCF_002948295.1,gsB_R._leguminosarum_SM10_GCF_004322895.1,0.8257145155861496,261,429
1103,R._leguminosarum_UPM791_GCF_002948295.1,R._leguminosarum_JHI960_GCA_010668545.1,0.8120805022080192,261,438
486,R._leguminosarum_JHI1084_GCF_010668425.1,R._anhuiense_S10_GCF_002531655.1,0.8364707032959113,262,5
508,R._leguminosarum_JHI1084_GCF_010668425.1,R._leguminosarum_Vh3_GCF_000373325.1,0.8308188492744102,262,21
493,R._leguminosarum_JHI1084_GCF_010668425.1,R._leguminosarum_FRF1H7_GCF_004330625.1,0.8380175206194015,262,25
524,R._leguminosarum_JHI1084_GCF_010668425.1,gsC_R._leguminosarum_SM92_GCF_004305315.1,0.8349785428229541,262,26
510,R._leguminosarum_JHI1084_GCF_010668425.1,R._ruizarguesonis_UPM1135_GCF_012412905.1,0.8369604726493547,262,77
